ADM2_EN,ADM2_MN,ADM2_PCODE,ADM1_EN,ADM1_MN,ADM1_PCODE,date,validOn,POINT_X,POINT_Y
Bayan-O'ndor,Баян-Өндөр,MN6101,Orkhon,Орхон,MN61,12/1/2016,10/19/2020,104.1115203,49.05670559
Bayan-O'ndor,Баян-Өндөр,MN6213,Ovorkhangai,Өвөрхангай,MN62,12/1/2016,10/19/2020,104.2250475,46.48563742
Bayan-O'ndor,Баян-Өндөр,MN6419,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,98.38102293,43.79129024
Bayan-O'njuul,Баян-Өнжүүл,MN4125,To'v,Төв,MN41,12/1/2016,10/19/2020,106.0286283,46.92687359
Bayan-Ovoo,Баян-Овоо,MN2316,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,112.1740723,47.87898052
Bayan-Ovoo,Баян-Овоо,MN4607,Omnogovi,Өмнөговь,MN46,12/1/2016,10/19/2020,106.0704691,42.82914099
Bayan-Ovoo,Баян-Овоо,MN6416,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,100.3160256,46.15896477
Bayan-Uul,Баян-Уул,MN2110,Dornod,Дорнод,MN21,12/1/2016,10/19/2020,112.6405217,49.06968702
Bayan-Uul,Баян-Уул,MN8207,Govi-Altai,Говь-Алтай,MN82,12/1/2016,10/19/2020,95.04854398,47.05992414
Bayan agt,Баян-Агт,MN6304,Bulgan,Булган,MN63,12/1/2016,10/19/2020,102.0988923,49.09435212
Bayanbulag,Баянбулаг,MN6407,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,98.07458517,46.85447391
Bayancagaan,Баянцагаан,MN4131,To'v,Төв,MN41,12/1/2016,10/19/2020,107.1831224,46.77148349
Bayancagaan,Баянцагаан,MN6422,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,98.98550224,45.06040959
Bayanchandmani,Баянчандмань,MN4137,To'v,Төв,MN41,12/1/2016,10/19/2020,106.2297145,48.22290367
Bayancogt,Баянцогт,MN4134,To'v,Төв,MN41,12/1/2016,10/19/2020,105.9735615,48.09377761
Bayandalai,Баяндалай,MN4604,Omnogovi,Өмнөговь,MN46,12/1/2016,10/19/2020,103.2673201,43.0957815
Bayandelger,Баяндэлгэр,MN2207,Sukhbaatar,Сүхбаатар,MN22,12/1/2016,10/19/2020,112.3394179,45.63529052
Bayandelger,Баяндэлгэр,MN4119,To'v,Төв,MN41,12/1/2016,10/19/2020,108.2513275,47.50352855
Bayandun,Баяндун,MN2104,Dornod,Дорнод,MN21,12/1/2016,10/19/2020,113.4196476,49.32074725
Bayangol,Баянгол,MN1107,Ulaanbaatar,Улаанбаатар,MN11,12/1/2016,10/19/2020,106.8162005,47.89789702
Bayangol,Баянгол,MN4310,Selenge,Сэлэнгэ,MN43,12/1/2016,10/19/2020,106.1828316,48.98984135
Bayangol,Баянгол,MN6210,Ovorkhangai,Өвөрхангай,MN62,12/1/2016,10/19/2020,103.3405428,45.78245561
Bayangovi,Баянговь,MN6410,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,100.0437484,44.67912545
Bayanjargalan,Баянжаргалан,MN4122,To'v,Төв,MN41,12/1/2016,10/19/2020,108.374081,47.07701108
Bayanjargalan,Баянжаргалан,MN4807,Dundgovi,Дундговь,MN48,12/1/2016,10/19/2020,108.0521618,45.78479757
Bayanlig,Баянлиг,MN6413,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,100.9229473,44.32216561
Bayanmo'nx,Баянмөнх,MN2313,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,109.7403403,46.89832113
Bayannuur,Баяннуур,MN6307,Bulgan,Булган,MN63,12/1/2016,10/19/2020,104.5103768,47.85548656
Bayannuur,Баяннуур,MN8310,Bayan-Olgii,Баян-Өлгий,MN83,12/1/2016,10/19/2020,90.92784174,48.89946976
Bayantal,Баянтал,MN4204,Govisumber,Говьсүмбэр,MN42,12/1/2016,10/19/2020,108.3478765,46.657223
Bayantes,Баянтэс,MN8110,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,96.2694279,49.76178877
